"id","company_id/id","parent_id/id","name","code","format","report_id/id"
"bzr_fi.160401","base.main_company","bzr_fi.1604","建筑工程",160401,"fi.detail.ledger","bzr_fi.fi_report_21"
"bzr_fi.160402","base.main_company","bzr_fi.1604","安装工程",160402,"fi.detail.ledger","bzr_fi.fi_report_21"
"bzr_fi.160403","base.main_company","bzr_fi.1604","在安装设备",160403,"fi.detail.ledger","bzr_fi.fi_report_21"
"bzr_fi.160404","base.main_company","bzr_fi.1604","待摊支出",160404,"fi.detail.ledger","bzr_fi.fi_report_21"
"bzr_fi.1605","base.main_company",,"工程物资",1605,"fi.detail.ledger","bzr_fi.fi_report_22"
"bzr_fi.160501","base.main_company","bzr_fi.1605","专用材料",160501,"fi.detail.ledger","bzr_fi.fi_report_22"
"bzr_fi.160502","base.main_company","bzr_fi.1605","专用设备",160502,"fi.detail.ledger","bzr_fi.fi_report_22"
"bzr_fi.160503","base.main_company","bzr_fi.1605","预付大型设备款",160503,"fi.detail.ledger","bzr_fi.fi_report_22"
"bzr_fi.160504","base.main_company","bzr_fi.1605","为生产准备的工具及器具",160504,"fi.detail.ledger","bzr_fi.fi_report_22"
"bzr_fi.1606","base.main_company",,"固定资产清理",1606,"fi.detail.ledger","bzr_fi.fi_report_23"
"bzr_fi.1701","base.main_company",,"无形资产",1701,"fi.detail.ledger","bzr_fi.fi_report_24"
"bzr_fi.1702","base.main_company",,"累计摊销",1702,"fi.detail.ledger","bzr_fi.fi_report_24"
"bzr_fi.1703","base.main_company",,"无形资产减值准备",1703,"fi.detail.ledger","bzr_fi.fi_report_24"
"bzr_fi.1711","base.main_company",,"商誉",1711,"fi.detail.ledger","bzr_fi.fi_report_26"
"bzr_fi.1801","base.main_company",,"长期待摊费用",1801,"fi.detail.ledger","bzr_fi.fi_report_27"
"bzr_fi.1811","base.main_company",,"递延所得税资产",1811,"fi.detail.ledger","bzr_fi.fi_report_28"
"bzr_fi.1901","base.main_company",,"待处理财产损溢",1901,"fi.detail.ledger","bzr_fi.fi_report_29"
"bzr_fi.2001","base.main_company",,"短期借款",2001,"fi.detail.ledger","bzr_fi.fi_report_34"
"bzr_fi.2101","base.main_company",,"交易性金融负债",2101,"fi.detail.ledger","bzr_fi.fi_report_35"
"bzr_fi.210101","base.main_company","bzr_fi.2101","本金",210101,"fi.detail.ledger","bzr_fi.fi_report_35"
"bzr_fi.210102","base.main_company","bzr_fi.2101","公允价值变动",210102,"fi.detail.ledger","bzr_fi.fi_report_35"
"bzr_fi.2201","base.main_company",,"应付票据",2201,"fi.detail.ledger","bzr_fi.fi_report_46"
"bzr_fi.2202","base.main_company",,"应付账款",2202,"fi.detail.ledger","bzr_fi.fi_report_37"
"bzr_fi.2203","base.main_company",,"预收账款",2203,"fi.detail.ledger","bzr_fi.fi_report_34"
"bzr_fi.2211","base.main_company",,"应付职工薪酬",2211,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221101","base.main_company","bzr_fi.2211","工资",221101,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221102","base.main_company","bzr_fi.2211","职工福利",221102,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221103","base.main_company","bzr_fi.2211","社会保险费",221103,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221104","base.main_company","bzr_fi.2211","住房公积金",221104,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221105","base.main_company","bzr_fi.2211","工会经费",221105,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221106","base.main_company","bzr_fi.2211","职工教育经费",221106,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.221107","base.main_company","bzr_fi.2211","解除职工劳动关系补偿",221107,"fi.detail.ledger","bzr_fi.fi_report_39"
"bzr_fi.2221","base.main_company",,"应交税费",2221,"fi.detail.ledger","bzr_fi.fi_report_40"
"bzr_fi.222101","base.main_company","bzr_fi.2221","应交增值税",222101,"fi.detail.ledger","bzr_fi.fi_report_40"
"bzr_fi.22210101","base.main_company","bzr_fi.222101","进项税额",22210101,"fi.detail.ledger","bzr_fi.fi_report_40"
"bzr_fi.22210102","base.main_company","bzr_fi.222101","已交税金",22210102,"fi.detail.ledger","bzr_fi.fi_report_40"
"bzr_fi.22210103","base.main_company","bzr_fi.222101","减免税款",22210103,"fi.detail.ledger","bzr_fi.fi_report_40"
"bzr_fi.22210104","base.main_company","bzr_fi.222101","出口抵减内销产品应纳税额",22210104,"fi.detail.ledger","bzr_fi.fi_report_40"
